timestamp,open,high,low,close
datetime,float,float,float,float
T,,,,
2007-02-05 13:00:00,120.59,120.62,120.55,120.56
2007-02-05 14:00:00,120.57,120.59,120.33,120.39
2007-02-05 15:00:00,120.38,120.49,120.25,120.31
2007-02-05 16:00:00,120.32,120.45,120.27,120.33
2007-02-05 17:00:00,120.33,120.36,120.25,120.25
2007-02-05 18:00:00,120.25,120.28,120.22,120.24
2007-02-05 19:00:00,120.23,120.33,120.23,120.31
2007-02-05 20:00:00,120.31,120.38,120.30,120.38
2007-02-05 21:00:00,120.38,120.38,120.29,120.31
2007-02-05 22:00:00,120.31,120.35,120.27,120.28
2007-02-05 23:00:00,120.29,120.29,120.06,120.20
2007-02-06 00:00:00,120.20,120.20,120.00,120.08
2007-02-06 01:00:00,120.08,120.17,120.08,120.15
2007-02-06 02:00:00,120.15,120.23,120.14,120.14
2007-02-06 03:00:00,120.14,120.23,120.14,120.22
2007-02-06 04:00:00,120.22,120.28,120.21,120.25
2007-02-06 05:00:00,120.25,120.29,120.23,120.25
2007-02-06 06:00:00,120.24,120.37,120.24,120.28
2007-02-06 07:00:00,120.29,120.44,120.28,120.36
2007-02-06 08:00:00,120.36,120.52,120.32,120.45
2007-02-06 09:00:00,120.45,120.51,120.39,120.50
2007-02-06 10:00:00,120.51,120.51,120.25,120.26
2007-02-06 11:00:00,120.26,120.29,120.14,120.14
2007-02-06 12:00:00,120.14,120.15,120.06,120.14
2007-02-06 13:00:00,120.14,120.36,119.96,120.27
2007-02-06 14:00:00,120.26,120.29,120.19,120.19
2007-02-06 15:00:00,120.19,120.43,120.08,120.42
2007-02-06 16:00:00,120.42,120.54,120.32,120.33
2007-02-06 17:00:00,120.34,120.34,120.27,120.31
2007-02-06 18:00:00,120.31,120.32,120.05,120.06
2007-02-06 19:00:00,120.06,120.15,120.04,120.06
2007-02-06 20:00:00,120.06,120.11,120.01,120.09
2007-02-06 21:00:00,120.09,120.10,120.06,120.08
2007-02-06 22:00:00,120.07,120.09,119.98,120.03
2007-02-06 23:00:00,120.03,120.06,120.01,120.03
2007-02-07 00:00:00,120.03,120.17,120.01,120.17
2007-02-07 01:00:00,120.17,120.17,120.07,120.14
2007-02-07 02:00:00,120.14,120.17,120.11,120.16
2007-02-07 03:00:00,120.16,120.23,120.14,120.22
2007-02-07 04:00:00,120.22,120.22,120.12,120.12
2007-02-07 05:00:00,120.12,120.28,120.11,120.25
2007-02-07 06:00:00,120.26,120.45,120.25,120.39
2007-02-07 07:00:00,120.38,120.44,120.35,120.44
2007-02-07 08:00:00,120.43,120.61,120.34,120.56
2007-02-07 09:00:00,120.55,120.66,120.47,120.61
2007-02-07 10:00:00,120.61,120.71,120.59,120.64
2007-02-07 11:00:00,120.65,120.70,120.63,120.67
2007-02-07 12:00:00,120.67,120.70,120.60,120.61
2007-02-07 13:00:00,120.60,120.67,120.58,120.61
2007-02-07 14:00:00,120.61,120.61,120.51,120.56
2007-02-07 15:00:00,120.55,120.75,120.54,120.66
2007-02-07 16:00:00,120.65,120.67,120.56,120.64
2007-02-07 17:00:00,120.64,120.78,120.64,120.75
2007-02-07 18:00:00,120.75,120.79,120.67,120.69
2007-02-07 19:00:00,120.69,120.78,120.62,120.65
